epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.488,1.96013,2.6886,1.7409,0.05781,0.22259,0.06118,0.02602,2.28924,4.31214,2.10969,0.000328638,0.000328638,0.0674648
2,964.226,1.90599,2.01469,1.7145,0.72906,0.46512,0.53328,0.2467,1.82962,1.85571,1.72978,0.000635758,0.000635758,0.0344386
3,1429.97,1.83879,1.8601,1.66668,0.59802,0.55482,0.53227,0.25972,1.83712,1.81955,1.81191,0.000916477,0.000916477,0.00138596
4,1906.63,1.81642,1.79643,1.67753,0.6825,0.59136,0.56974,0.24545,1.85073,2.0635,1.74457,0.0008812,0.0008812,0.0008812
5,2358.89,1.77648,1.74561,1.64023,0.48014,0.51827,0.3789,0.16817,1.93807,2.17918,1.8055,0.0008416,0.0008416,0.0008416
6,2807.9,1.72227,1.73572,1.59647,0.7563,0.5814,0.62502,0.30237,1.74016,1.72314,1.60709,0.000802,0.000802,0.000802
7,3262.39,1.69156,1.62811,1.58651,0.77684,0.62791,0.6442,0.31482,1.67746,1.58954,1.57958,0.0007624,0.0007624,0.0007624
8,3717.61,1.63922,1.56818,1.53018,0.78666,0.64452,0.65495,0.32609,1.64485,1.4922,1.57194,0.0007228,0.0007228,0.0007228
9,4165.97,1.63458,1.57122,1.54691,0.78372,0.69767,0.70379,0.35782,1.59422,1.39164,1.54972,0.0006832,0.0006832,0.0006832
10,4607.12,1.58947,1.4958,1.51026,0.67169,0.66612,0.66897,0.34361,1.58912,1.45506,1.52046,0.0006436,0.0006436,0.0006436
11,5055.12,1.57508,1.44129,1.47385,0.81853,0.72093,0.72174,0.35797,1.68665,1.44968,1.58345,0.000604,0.000604,0.000604
12,5504.82,1.57432,1.48236,1.50097,0.78959,0.68439,0.70583,0.36741,1.60594,1.36316,1.5178,0.0005644,0.0005644,0.0005644
13,5967.55,1.56105,1.44102,1.48676,0.79971,0.71096,0.72272,0.37009,1.57227,1.50929,1.52365,0.0005248,0.0005248,0.0005248
14,6416.17,1.53152,1.41598,1.44966,0.81194,0.70287,0.73014,0.3786,1.53961,1.32025,1.50729,0.0004852,0.0004852,0.0004852
15,6869.86,1.49916,1.37611,1.44279,0.79579,0.72093,0.71039,0.37586,1.50077,1.35956,1.46596,0.0004456,0.0004456,0.0004456
16,7324.7,1.46007,1.35367,1.45725,0.80842,0.72425,0.72719,0.37128,1.48447,1.36626,1.45423,0.000406,0.000406,0.000406
17,7778.95,1.45192,1.31165,1.45644,0.79403,0.71721,0.7203,0.37564,1.49288,1.35527,1.45779,0.0003664,0.0003664,0.0003664
18,8230.79,1.40227,1.28996,1.43476,0.82695,0.71444,0.73743,0.3933,1.53988,1.2999,1.47971,0.0003268,0.0003268,0.0003268
19,8679.06,1.38809,1.24043,1.42978,0.82353,0.72757,0.72358,0.38234,1.49463,1.27218,1.46449,0.0002872,0.0002872,0.0002872
20,9132.08,1.38303,1.21843,1.42016,0.84013,0.75083,0.74765,0.40423,1.48513,1.22794,1.4594,0.0002476,0.0002476,0.0002476
21,9579.74,1.35551,1.201,1.41391,0.80466,0.72533,0.7427,0.40748,1.47776,1.20785,1.43889,0.000208,0.000208,0.000208
22,10027.9,1.34588,1.15891,1.38909,0.83783,0.72091,0.7429,0.39986,1.44912,1.23137,1.42817,0.0001684,0.0001684,0.0001684
23,10476,1.31719,1.15484,1.37809,0.82509,0.72093,0.74216,0.40369,1.47724,1.2361,1.43699,0.0001288,0.0001288,0.0001288
24,10923.3,1.29812,1.14596,1.35682,0.82066,0.74751,0.73935,0.40143,1.42979,1.21339,1.41878,8.92e-05,8.92e-05,8.92e-05
25,11367.6,1.27997,1.13461,1.35938,0.81827,0.74419,0.74171,0.40513,1.43683,1.20402,1.41807,4.96e-05,4.96e-05,4.96e-05
